0
Abako
Abanga
Abarilela
Aber
Abia
Abim
Abim Town Council
Abindu Division
Abok
Aboke
Abongomola
Abuku
Acaba
Acholibur
Acowa
Adeknino
Adekokwok
Adilang
Adjumani Town Council
Adok
Adropi
Aduku
Aduku Town Council
Adumi
Adwari
Adyel Division
Agago Town Council
Agali
Agikdak
Agoro
Agule
Agulu Division
Agwata
Agweng
Agwingiri
Aii-Vu
Ajia
Akaa
Akalo
Akere Division
Akeriau
Akisim
Akokoro
Akoromit
Akura
Akwon
Akworo
Alangi
Alango
Alebtong Town Council
Aleka
Alerek
Alero
Aliba
Alito
Aloi
Alwa
Alwi
Amach
Amolatar Town Council
Amudat
Amudat Town Council
Amugu
Amukol
Amuria Town Council
Amuru
Amuru Town Council
Amwoma
Anaka Payira
Anaka Town Council
Angagura
Anyara
Anyiribu
Apac
Apala
Apapai
Apeduru
Aperkira
Apo
Apopong
Aputi
Arapai
Arinyapi
Arivu
Ariwa
Arocha Division
Aroi
Aromo
Arua Hill Division
Arum
Arwotcek
Asamuk
Asuret
Atanga
Atego
Athuma
Atiira
Atik Division
Attiak
Atutur
Atyak
Awach
Awei
Awelo
Awere
Ayer
Ayivuni
Bagezza
Baitambogwe
Bala
Balawoli
Bamunanika
Bananywa
Banda
Bar Dege Division
Barr
Batta
Bbaale
Bbanda
Benet
Bigasa
Biguli
Bihanga
Biharwe Division
Biiso
Bileafe
Binyiny
Binyiny Town Council
Birembo
Birere
Bisheshe Division
Bitereko
Bitooma
Bitsya
Bobi
Bombo Town Council
Bubaare
Bubandi
Bubango
Bubeke
Bubiita
Bubukwanga
Bubutu
Bubyangu
Budadiri Town Council
Budaka
Budaka Town Council
Budde
Budhaya
Budomero
Budondo
Budongo
Bududa
Bududa Town Council
Budumba
Budwale
Bufumbo
Bufumira
Bufunda Division
Bufundi
Bufunjo
Bugaaki
Bugamba
Bugambe
Bugangari
Buganikire Town Councili
Bugaya
Bugembe Town Council
Buginyanya
Bugitimwa
Bugobero
Bugondo
Bugongi Town Council
Bugoye
Bugulumbya
Bugweri Town Council
Buhanda
Buhanika
Buhara
Buheesi
Buheesi Town Council
Buhehe
Buhemba
Buhimba
Buhimba Town Council
Buhugu
Buhuhira
Buhunga
Buikwe
Buikwe Town Council
Bujumba
Bujumbura Division
Bukabooli
Bukakata
Bukalasi
Bukamba
Bukana
Bukanga
Bukasakya
Bukatube
Bukedea
Bukedea Town Council
Bukhabusi
Bukhalu
Bukhaweka
Bukhofu
Bukhulo
Bukiabi
Bukibokolo
Bukiende
Bukigai
Bukiise
Bukimbiri
Bukinda
Bukiro
Bukiyi
Bukokho
Bukomansimbi  Town Council
Bukomero
Bukomero Town Council
Bukonde
Bukonzo
Bukooma
Bukulula
Bukurungu Town Council
Bukusu
Bukuuku
Bukuya
Bukwo
Bukwo Town Council
Bukyabo
Bukyambi
Bulaago
Bulambuli Town Council
Bulamogi
Bulange
Bulangira
Bulegeni
Bulegeni Town Council
Bulembia Division
Bulera
Bulesa
Bulidha
Buliisa
Buliisa Town Council
Bulo
Bulongo
Bulopa
Bulucheke
Buluganya
Buluguyi
Bululu
Bulumbi
Bumalimba
Bumanya
Bumasheti
Bumasifwa
Bumasikye
Bumasobo
Bumayoka
Bumbaire
Bumbo
Bumbobi
Bumugibole
Bumwoni
Bunabwana
Bunambutye
Bunamwaya Division
Bundibugyo Town Council
Bundingoma
Bungatira
Bungokho
Bungokho Mutoto
Bunyafa
Bunyinza Town Council
Bupoto
Buremba
Burere
Burondo
Burora
Burunga
Busaana
Busaba
Busabi
Busakira
Busamuzi
Busano
Busanza
Busaru
Busedde
Busembatia Town Council
Buseruka
Buseta
Bushika
Bushiribo
Bushiyi
Busiisi Division
Busimbi Division
Busime
Busiriba
Busitema
Busiu
Busiu Town Council
Busoba
Busolwe
Busolwe Town Council
Busoro
Bussi
Busukuma Division
Busukuya
Busulani
Busunga Twon Council
Busunju Town Council
Buswale
Butagaya
Butalangu Town Council
Butaleja
Butaleja Town Council
Butama-Mitunda Town Council
Butanda
Butandiga
Butansi
Butayunja
Buteba
Butebo
Butebo Town Council
Butemba
Butemba Town Council
Butenga
Buteza
Butiaba
Butiiti
Butiru
Butogota Town Council
Butoloogo
Butta
Butunduzi
Butunduzi Town Council
Butungama
Butuntumula
Buvuma Town Council
Buwaaya
Buwabwala
Buwagogo
Buwalasi
Buwali
Buwama
Buwangani Town Council
Buwasa
Buwenge
Buwenge Town Council
Buwooya
Buwunga
Buyaga Town Council
Buyanga
Buyanja
Buyanja Town Council
Buyende
Buyende Town Council
Buyengo
Buyinda
Buyinja
Buyobo
Bwambara
Bwamiramira
Bwanswa
Bweema
Bwera
Bweramule
Bwesumbu
Bweyale Town Council
Bweyogerere Division
Bwijanga
Bwikara
Bwikhonge
Bwizi
Bwongyera
Byakabanda
Byerima
Central
Central Division
Central Divison
Chahi
Chawente
Chegere
Chelekura
Chema
Chepkwasta
Chepterech
Chesower
Ciforo
Dabani
Dadamu
Ddwaniro
Difule
Division A
Division B
Dokolo
Dokolo Tc
Drajini
Dranya
Dzaipi
Eastern Division
Eastern Divison
Endiinzi
Endiinzi Town Council
Engaju
Engari
Erussi
Etam
Ewanga
Gadumire
Galiraya
Gamogo
Gayaza
Gimara
Gogonyo
Goli Goli
Goma Division
Gombe Division
Gombe Town Council
Got Apwoyo
Gweri
Hakibaale
Hamurwa
Hamurwa Town Council
Hapuuyo
Harugale
Harugogo
Hima Town Council
Himutu
Ibaare
Ibuje
Ibulanku
Iceme
Igombe
Igorora Town Council
Ihandiro
Ihunga
Iki-Iki
Ikumba
Ikumbya
Imanyiro
Inde Town Council
Industrial Divison
Inomo
Iriiri
Irongo
Isango
Ishaka Divison
Ishongororo
Ishongororo Town Council
Isingiro Town Council
Itirikwa
Itojo
Itula
Ivukula
Iwemba
Iyolwa
Jaguzi
Jangokoro
Kaabong East
Kaabong Town Council
Kaabong West
Kaato
Kabamba
Kabambiro
Kabasekende
Kabei
Kaberamaido
Kaberamaido Town Council
Kaberebere Town Council
Kabeywa
Kabingo
Kabira
Kabonera
Kabonero
Kabulasoke
Kabuyanda
Kabuyanda Town Council
Kabwangasi
Kabweri
Kabweza Kyegegwa
Kabwohe Division
Kabwoya
Kacheera
Kacheri
Kachomo
Kachonga
Kachumbala
Kadama
Kaderuna
Kadungulu
Kadungulu Town Council
Kafunjo-Mirama Town Council
Kagadi
Kagadi  Town Council
Kagamba
Kagango Division
Kagarama Town Council
Kagongi
Kagugu
Kagulu
Kagumba
Kagumu
Kaharo
Kahoora Divison
Kahunge
Kahunge Town Council
Kajjansi Town Council
Kakabara
Kakamar
Kakamba
Kakanju
Kakiika Division
Kakindo
Kakindo Town Council
Kakindu
Kakira Town Council
Kakiri
Kakiri Town Council
Kakoba Division
Kakomongole
Kakooge
Kakooge Town Council
Kakoro
Kakule
Kakumiro  Town Council
Kakure
Kakutu
Kakuuto
Kalagala
Kalaki
Kalaki Town Council
Kalamba
Kalangaalo
Kalangala Town Council
Kalapata
Kaliiro
Kaliro Town Council
Kalisizo
Kalisizo Town Council
Kalongo
Kalongo Town Council
Kalungi
Kalungu
Kalungu Town Council
Kalwana
Kambuga
Kambuga Town Council
Kamdini
Kameke
Kameruka
Kamet
Kamion
Kamira
Kammengo
Kamonkoli
Kamu
Kamuda
Kamuganguzi
Kamuge
